,RHO,TYPE,bottom,count_samp,error,force_median,id,index,l,mean_samp,median_samp,relative_height_mm,stdev_samp,top,force_log
113,264.00000000000006,F,26.0,7,130.18168107870406,1.9709286598434461,RP_16,8,0.37800055561927254,394.1816810787041,394.97544470020785,255.0,9.851286276148555,29.0,0.6785048326111411
114,221.9999999999999,F,23.0,7,56.93917509370192,0.12066536830262245,RP_16,9,0.8864746345361606,278.9391750937018,280.21279303570685,285.0,6.628398649466353,26.0,-2.1147341158053825
115,220.99999999999994,D,20.0,7,67.52110766890513,0.13266827403429102,RP_16,10,0.9936041908608801,288.5211076689051,286.75272814211235,315.0,4.374823972145905,23.0,-2.0199034466028407
116,214.00000000000006,D,17.0,7,65.86571510758534,0.2338221880624069,RP_16,11,1.3018253825860149,279.8657151075854,282.9206001883554,345.0,5.063003787167364,20.0,-1.4531943325548236
117,225.0,D,14.0,7,58.353076669098186,0.21827903658560102,RP_16,12,0.9057165784585653,283.3530766690982,278.7368407186036,375.0,9.276568630676598,17.0,-1.5219810503370264
118,220.99999999999994,D,11.0,7,82.14562913921486,0.11395038240182385,RP_16,13,1.1264935827740146,303.1456291392148,304.3852670572068,405.0,2.6589317956086065,14.0,-2.1719921674222364
119,215.0,D,8.0,7,72.86027419312188,0.21401479307357946,RP_16,14,1.0760222894123885,287.8602741931219,287.55908702020656,435.0,7.623539010918565,11.0,-1.5417101398373592
120,218.0000000000001,D,5.0,7,76.52646274404549,0.21546283715298767,RP_16,15,1.614402394118559,294.5264627440456,291.5635294729367,465.0,37.4114847466132,8.0,-1.5349668337155329
121,221.9999999999999,D,2.0,7,68.11686441247792,0.4791416520682489,RP_16,16,1.1019603086401395,290.1168644124778,290.24451694053175,495.0,14.94059308565002,5.0,-0.735759000720744
122,330.0,N,32.0,7,228.29862046408311,7.899732318814192,RP_17,0,0.17341555004780893,558.2986204640831,558.7743093702619,15.0,19.988941196517963,35.0,2.0668288752045045
123,348.0,F,29.0,7,195.22176342467014,5.873615673706008,RP_17,1,0.15254034053298743,543.2217634246701,543.2005715084446,45.0,3.9566632557889956,32.0,1.770470402257623
124,220.0,F,26.0,7,117.06109046933597,2.7467288162966286,RP_17,2,0.6327073715575365,337.06109046933597,325.4537623573482,75.0,34.41528557190884,29.0,1.0104106822897392
125,197.0,F,23.0,7,93.48653364003542,0.33144802656758804,RP_17,3,0.45537436842722007,290.4865336400354,290.8865737414981,105.0,6.0551556816246155,26.0,-1.104284264249441
126,168.0,F,20.0,7,90.96718161978703,0.15639289346067284,RP_17,4,0.5254156252991501,258.967181619787,258.04310999750004,135.0,2.2307368473743017,23.0,-1.855383890134266
127,192.0,D,17.0,7,102.09067766638952,0.059664268793704574,RP_17,5,0.9100871120862761,294.0906776663895,284.19443569101986,165.0,19.61292724064197,20.0,-2.8190219504320506
128,197.0,D,14.0,7,96.58785522426086,0.06362872310235904,RP_17,6,0.9465781260948035,293.58785522426086,294.89135702504905,195.0,4.812689787808691,17.0,-2.754690289479904
129,197.0,D,11.0,7,92.207630153904,0.05949720892614052,RP_17,7,0.9202270062737327,289.207630153904,287.0976083215988,225.0,25.581535644234677,14.0,-2.8218258763351662
130,345.0,R,24.0,7,142.56223835723864,2.54977407756576,RP_18,0,0.10177236285818693,487.56223835723864,488.19190503025544,15.0,3.2245913032137627,27.0,0.9360047582123504
131,264.00000000000006,R,21.0,7,-2.410634238894147,0.22186325262081924,RP_18,1,0.4395385694331043,261.5893657611059,257.4947228526522,45.0,18.467453323637578,24.0,-1.5056940660884781
132,340.99999999999994,R,18.0,7,98.35736312571493,7.28640371451286,RP_18,2,0.5181774239969784,439.35736312571487,442.0717250694611,75.0,118.13291981788446,21.0,1.986010106674272
133,313.0000000000001,R,15.0,7,105.52610786161932,4.613828961177013,RP_18,3,0.4621940134995204,418.52610786161944,428.65625531816113,105.0,58.1115063581286,18.0,1.529058089531963
134,174.00000000000006,D,12.0,7,31.42424851818052,0.05628355323893495,RP_18,4,0.4696564954594174,205.42424851818058,205.7696603421299,135.0,6.400220864559039,15.0,-2.877352913708714
135,226.9999999999999,R,55.0,7,0.057305192689881324,0.0275336071692622,SD_02,0,0.6567789385523151,227.05730519268977,226.85750646910682,15.0,5.181351357459317,58.0,-3.5923479415579216
136,229.00000000000006,R,52.0,7,-112.06360254816187,0.037666724120259454,SD_02,1,0.15204130386979026,116.93639745183819,111.49232876985238,45.0,17.70692700227775,55.0,-3.2789782236224467
137,404.00000000000006,R,49.0,7,243.18954322744258,22.505968359876924,SD_02,2,0.16858652087947718,647.1895432274426,655.5169458027709,75.0,21.412435193730644,52.0,3.113780534474019
138,418.0000000000001,R,46.0,7,193.2224257261538,12.743131830028588,SD_02,3,0.1453637849515077,611.2224257261539,609.6710463581442,105.0,6.186282528268814,49.0,2.544992446466482
139,431.9999999999999,R,43.0,7,151.38793110190102,15.694746245394498,SD_02,4,0.23664252236951464,583.3879311019009,585.2839051709094,135.0,4.134270341335074,46.0,2.7533260223004885
140,410.0,R,40.0,7,216.39267231056397,21.52318479654907,SD_02,5,0.20055833924192262,626.392672310564,628.1012495833645,165.0,5.492555785139806,43.0,3.0691307167484845
141,330.0,F,37.0,7,201.7835455252789,7.053577747295378,SD_02,6,0.21826363003634744,531.7835455252789,530.2237541495722,195.0,3.403510723406399,40.0,1.953534969984663
142,358.0000000000001,F,34.0,7,216.65088764155973,8.275354161157848,SD_02,7,0.14610271191726318,574.6508876415598,572.8991420353422,225.0,7.4023246711510815,37.0,2.1132817192787403
143,366.9999999999999,F,31.0,7,222.3225133236151,9.429369477252502,SD_02,8,0.13824139634108662,589.322513323615,588.4971047665974,255.0,4.998275520643691,34.0,2.243829230916001
144,360.0,F,28.0,7,267.33376363574087,13.499990277423224,SD_02,9,0.12389487936589146,627.3337636357409,628.3161391185167,285.0,11.46492898688954,31.0,2.602688965253252
145,290.0,F,25.0,7,235.65418293986352,7.222087510948543,SD_02,10,0.23679832983694518,525.6541829398635,528.7271955297188,315.0,5.14395652069967,28.0,1.9771440400552591
146,361.9999999999999,D,22.0,7,146.6732773246518,4.018939714773879,SD_02,11,0.1571052441009457,508.6732773246517,505.2502451674286,345.0,11.03067437655526,25.0,1.391018115298299
147,276.9999999999999,D,19.0,7,182.5382844412021,3.28999092846573,SD_02,12,0.2649337806314115,459.538284441202,463.09817967112673,375.0,21.81104649517398,22.0,1.19088480746823
148,220.0,D,16.0,7,49.29554317768839,0.10768684668577834,SD_02,13,0.7713754281452114,269.2955431776884,269.3860436265457,405.0,3.7508105663750952,19.0,-2.22852783147243
149,192.00000000000003,D,13.0,7,118.79487223187422,0.11643730728962158,SD_02,14,1.0946309172898656,310.79487223187425,320.76338518294455,435.0,23.60253800212214,16.0,-2.1504022856759426
150,182.99999999999997,D,10.0,7,99.71705021089295,0.16742211153381095,SD_02,15,0.9708803844926989,282.7170502108929,280.57194895439557,465.0,3.1894241155407324,13.0,-1.7872370416340189
151,206.9999999999999,D,7.0,7,92.98702844786408,0.10999084259919491,SD_02,16,1.0620410209876698,299.98702844786396,302.3961286805021,495.0,7.115798703978517,10.0,-2.2073581657533476
